"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Feb 14 15:57:34 CET 2022","Mon Feb 14 15:57:34 CET 2022","0","","UI/Test.feature","","","","Oops...we found an error preparing this test file: UI/Test.feature",""
"failed","Mon Feb 14 05:04:48 CET 2022","Mon Feb 14 05:04:56 CET 2022","7129","","UI","","","","TC001:Validate HomePage",""
"passed","Mon Feb 14 16:31:46 CET 2022","Mon Feb 14 16:31:46 CET 2022","33","","UI","","","","Click on New Post to Create New Article & Publish",""
"passed","Mon Feb 14 05:09:36 CET 2022","Mon Feb 14 05:09:38 CET 2022","1712","","API","","","","TC001:Validate API Test",""
"failed","Mon Feb 14 16:31:33 CET 2022","Mon Feb 14 16:31:46 CET 2022","13749","","UI","","","","Valid log in",""
"broken","Mon Feb 14 15:51:23 CET 2022","Mon Feb 14 15:51:23 CET 2022","0","","UI/Test.feature","","","","Oops...we found an error preparing this test file: UI/Test.feature",""
"broken","Mon Feb 14 15:41:24 CET 2022","Mon Feb 14 15:41:24 CET 2022","0","","UI/Test.feature","","","","Oops...we found an error preparing this test file: UI/Test.feature",""
"failed","Mon Feb 14 16:01:41 CET 2022","Mon Feb 14 16:01:44 CET 2022","3598","","","","","","An uncaught error was detected outside of a test",""
"broken","Mon Feb 14 15:54:13 CET 2022","Mon Feb 14 15:54:13 CET 2022","0","","UI/Test.feature","","","","Oops...we found an error preparing this test file: UI/Test.feature",""
"broken","Mon Feb 14 15:55:30 CET 2022","Mon Feb 14 15:55:30 CET 2022","0","","UI/Test.feature","","","","Oops...we found an error preparing this test file: UI/Test.feature",""
